item_idS1	1 item_id98	98 2656
item_idS2	2 item_id98	98 2400
item_idS3	3 item_id58	58 1952
item_idS4	4 item_id98	98 2178
item_idS5	5 item_id93	93 2204
item_idS6	6 item_id97	97 2666
item_idS7	7 item_id97	97 2587
item_idS8	8 item_id37	37 1517
item_idS9	9 item_id74	74 2238
item_idS10	10 item_id93	93 2133
item_idS11	11 item_id97	97 2681
item_idS12	12 item_id62	62 1779
item_idS13	13 item_id25	25 2321
item_idS14	14 item_id95	95 2639
item_idS15	15 item_id70	70 2202
item_idS16	16 item_id71	71 2158
item_idS17	17 item_id97	97 2293
item_idS18	18 item_id26	26 2156
item_idS19	19 item_id59	59 2303
item_idS20	20 item_id97	97 2276
item_idS21	21 item_id71	71 1944
item_idS22	22 item_id61	61 1865
item_idS23	23 item_id32	32 1580
item_idS24	24 item_id58	58 1963
item_idS25	25 item_id80	80 2083
item_idS26	26 item_id57	57 2156
item_idS27	27 item_id60	60 1807
item_idS28	28 item_id57	57 1859
item_idS29	29 item_id92	92 1957
item_idS30	30 item_id13	13 2439
item_idS31	31 item_id59	59 2212
item_idS32	32 item_id61	61 2304
item_idS33	33 item_id51	51 2173
item_idS34	34 item_id38	38 3032
item_idS35	35 item_id22	22 2300
item_idS36	36 item_id95	95 2732
item_idS37	37 item_id97	97 2671
item_idS38	38 item_id39	39 3156
item_idS39	39 item_id62	62 2973
item_idS40	40 item_id14	14 1854
item_idS41	41 item_id24	24 2502
item_idS42	42 item_id100	100 1678
item_idS43	43 item_id59	59 1924
item_idS44	44 item_id61	61 2343
item_idS45	45 item_id81	81 2074
item_idS46	46 item_id93	93 1809
item_idS47	47 item_id49	49 1880
item_idS48	48 item_id97	97 3155
item_idS49	49 item_id66	66 2651
item_idS50	50 item_id32	32 1804
item_idS51	51 item_id61	61 2748
item_idS52	52 item_id70	70 2263
item_idS53	53 item_id61	61 1561
item_idS54	54 item_id93	93 1607
item_idS55	55 item_id100	100 1434
item_idS56	56 item_id82	82 1697
item_idS57	57 item_id63	63 1828
item_idS58	58 item_id98	98 2405
item_idS59	59 item_id34	34 2521
item_idS60	60 item_id99	99 1260
item_idS61	61 item_id92	92 2247
item_idS62	62 item_id13	13 2039
item_idS63	63 item_id73	73 2585
item_idS64	64 item_id14	14 2149
item_idS65	65 item_id70	70 3018
item_idS66	66 item_id46	46 1535
item_idS67	67 item_id6	6 2929
item_idS68	68 item_id46	46 1896
item_idS69	69 item_id5	5 1874
item_idS70	70 item_id32	32 2500
item_idS71	71 item_id14	14 2330
item_idS72	72 item_id71	71 2880
item_idS73	73 item_id55	55 2607
item_idS74	74 item_id70	70 2993
item_idS75	75 item_id60	60 1985
item_idS76	76 item_id16	16 2922
item_idS77	77 item_id100	100 2274
item_idS78	78 item_id24	24 2703
item_idS79	79 item_id58	58 2014
item_idS80	80 item_id99	99 1444
item_idS81	81 item_id48	48 2117
item_idS82	82 item_id67	67 2609
item_idS83	83 item_id91	91 2001
item_idS84	84 item_id61	61 1937
item_idS85	85 item_id92	92 2139
item_idS86	86 item_id64	64 3556
item_idS87	87 item_id36	36 2687
item_idS88	88 item_id36	36 2734
item_idS89	89 item_id50	50 1780
item_idS90	90 item_id47	47 1267
item_idS91	91 item_id67	67 1394
item_idS92	92 item_id59	59 3009
item_idS93	93 item_id6	6 2976
item_idS94	94 item_id70	70 2247
item_idS95	95 item_id56	56 2737
item_idS96	96 item_id84	84 3417
item_idS97	97 item_id24	24 2762
item_idS98	98 item_id70	70 2641
item_idS99	99 item_id61	61 2165
item_idS100	100 item_id70	70 2687
