item_idS1	1  1.79769e+308
item_idS2	2  1.79769e+308
item_idS3	3  1.79769e+308
item_idS4	4  1.79769e+308
item_idS5	5  1.79769e+308
item_idS6	6  1.79769e+308
item_idS7	7 item_id100	100 3218
item_idS8	8  1.79769e+308
item_idS9	9  1.79769e+308
item_idS10	10  1.79769e+308
item_idS11	11  1.79769e+308
item_idS12	12  1.79769e+308
item_idS13	13  1.79769e+308
item_idS14	14  1.79769e+308
item_idS15	15  1.79769e+308
item_idS16	16  1.79769e+308
item_idS17	17  1.79769e+308
item_idS18	18  1.79769e+308
item_idS19	19  1.79769e+308
item_idS20	20  1.79769e+308
item_idS21	21  1.79769e+308
item_idS22	22  1.79769e+308
item_idS23	23  1.79769e+308
item_idS24	24  1.79769e+308
item_idS25	25  1.79769e+308
item_idS26	26  1.79769e+308
item_idS27	27  1.79769e+308
item_idS28	28  1.79769e+308
item_idS29	29  1.79769e+308
item_idS30	30  1.79769e+308
item_idS31	31  1.79769e+308
item_idS32	32  1.79769e+308
item_idS33	33  1.79769e+308
item_idS34	34  1.79769e+308
item_idS35	35  1.79769e+308
item_idS36	36  1.79769e+308
item_idS37	37  1.79769e+308
item_idS38	38  1.79769e+308
item_idS39	39  1.79769e+308
item_idS40	40  1.79769e+308
item_idS41	41  1.79769e+308
item_idS42	42  1.79769e+308
item_idS43	43  1.79769e+308
item_idS44	44  1.79769e+308
item_idS45	45  1.79769e+308
item_idS46	46  1.79769e+308
item_idS47	47  1.79769e+308
item_idS48	48  1.79769e+308
item_idS49	49  1.79769e+308
item_idS50	50  1.79769e+308
item_idS51	51  1.79769e+308
item_idS52	52  1.79769e+308
item_idS53	53  1.79769e+308
item_idS54	54  1.79769e+308
item_idS55	55  1.79769e+308
item_idS56	56  1.79769e+308
item_idS57	57  1.79769e+308
item_idS58	58  1.79769e+308
item_idS59	59  1.79769e+308
item_idS60	60  1.79769e+308
item_idS61	61  1.79769e+308
item_idS62	62  1.79769e+308
item_idS63	63  1.79769e+308
item_idS64	64  1.79769e+308
item_idS65	65  1.79769e+308
item_idS66	66  1.79769e+308
item_idS67	67  1.79769e+308
item_idS68	68  1.79769e+308
item_idS69	69  1.79769e+308
item_idS70	70  1.79769e+308
item_idS71	71  1.79769e+308
item_idS72	72  1.79769e+308
item_idS73	73  1.79769e+308
item_idS74	74  1.79769e+308
item_idS75	75  1.79769e+308
item_idS76	76  1.79769e+308
item_idS77	77  1.79769e+308
item_idS78	78  1.79769e+308
item_idS79	79  1.79769e+308
item_idS80	80  1.79769e+308
item_idS81	81  1.79769e+308
item_idS82	82  1.79769e+308
item_idS83	83  1.79769e+308
item_idS84	84  1.79769e+308
item_idS85	85  1.79769e+308
item_idS86	86  1.79769e+308
item_idS87	87  1.79769e+308
item_idS88	88  1.79769e+308
item_idS89	89  1.79769e+308
item_idS90	90  1.79769e+308
item_idS91	91  1.79769e+308
item_idS92	92  1.79769e+308
item_idS93	93  1.79769e+308
item_idS94	94  1.79769e+308
item_idS95	95  1.79769e+308
item_idS96	96  1.79769e+308
item_idS97	97  1.79769e+308
item_idS98	98  1.79769e+308
item_idS99	99  1.79769e+308
item_idS100	100  1.79769e+308
